Town,Earned,Unwalked,Total,PctEarned
Manchester,11,10,21,52.4
Vernon,8,7,15,53.3
South Windsor,15,6,21,71.4
Windsor,18,6,24,75.0
Windsor Locks,6,2,8,75.0
Canterbury,22,7,29,75.9
Killingly,32,10,42,76.2
East Windsor,16,5,21,76.2
Ellington,20,6,26,76.9
Norwalk,17,5,22,77.3
Stafford,39,11,50,78.0
West Hartford,15,4,19,78.9
Ledyard,27,7,34,79.4
Avon,16,4,20,80.0
East Granby,13,3,16,81.2
East Haven,9,2,11,81.8
Winchester,23,5,28,82.1
Salisbury,45,9,54,83.3
Mansfield,30,6,36,83.3
Norwich,20,4,24,83.3
Marlborough,15,3,18,83.3
Lisbon,10,2,12,83.3
Ashford,26,5,31,83.9
Canaan,21,4,25,84.0
Sharon,43,8,51,84.3
Hartford,11,2,13,84.6
Danbury,29,5,34,85.3
Lebanon,35,6,41,85.4
Somers,24,4,28,85.7
Franklin,12,2,14,85.7
Brooklyn,19,3,22,86.4
Burlington,19,3,22,86.4
Granby,32,5,37,86.5
Old Saybrook,13,2,15,86.7
Scotland,13,2,15,86.7
Norfolk,33,5,38,86.8
Suffield,33,5,38,86.8
North Stonington,40,6,46,87.0
Barkhamsted,27,4,31,87.1
Guilford,35,5,40,87.5
Coventry,28,4,32,87.5
Sterling,21,3,24,87.5
Bethlehem,14,2,16,87.5
Wolcott,14,2,16,87.5
Hartland,29,4,33,87.9
Colchester,37,5,42,88.1
New Hartford,23,3,26,88.5
East Haddam,39,5,44,88.6
Lyme,24,3,27,88.9
Canton,16,2,18,88.9
Hampton,16,2,18,88.9
Newington,8,1,9,88.9
Enfield,25,3,28,89.3
Warren,18,2,20,90.0
Easton,19,2,21,90.5
Old Lyme,19,2,21,90.5
Sprague,10,1,11,90.9
Bristol,21,2,23,91.3
Farmington,21,2,23,91.3
Sherman,21,2,23,91.3
Litchfield,43,4,47,91.5
Andover,11,1,12,91.7
Harwinton,24,2,26,92.3
Darien,12,1,13,92.3
Simsbury,25,2,27,92.6
East Lyme,26,2,28,92.9
Chester,13,1,14,92.9
Hebron,27,2,29,93.1
Tolland,27,2,29,93.1
Brookfield,14,1,15,93.3
Westbrook,14,1,15,93.3
Torrington,30,2,32,93.8
Chaplin,15,1,16,93.8
East Hartford,15,1,16,93.8
Ridgefield,31,2,33,93.9
Cornwall,34,2,36,94.4
Goshen,34,2,36,94.4
Pomfret,34,2,36,94.4
Plymouth,17,1,18,94.4
Stratford,17,1,18,94.4
New Canaan,18,1,19,94.7
Kent,37,2,39,94.9
Branford,20,1,21,95.2
Eastford,20,1,21,95.2
Salem,20,1,21,95.2
Wilton,21,1,22,95.5
Preston,22,1,23,95.7
Willington,22,1,23,95.7
Fairfield,24,1,25,96.0
Greenwich,49,2,51,96.1
Cheshire,25,1,26,96.2
Colebrook,26,1,27,96.3
Woodbury,26,1,27,96.3
Griswold,27,1,28,96.4
Union,27,1,28,96.4
Voluntown,32,1,33,97.0
Washington,32,1,33,97.0
Haddam,34,1,35,97.1
Montville,34,1,35,97.1
Plainfield,33,1,34,97.1
Stamford,33,1,34,97.1
Stonington,35,1,36,97.2
Glastonbury,38,1,39,97.4
Newtown,43,1,44,97.7
Woodstock,45,1,46,97.8
New Milford,48,1,49,98.0
Ansonia,5,0,5,100.0
Beacon Falls,7,0,7,100.0
Berlin,23,0,23,100.0
Bethany,15,0,15,100.0
Bethel,14,0,14,100.0
Bloomfield,22,0,22,100.0
Bolton,11,0,11,100.0
Bozrah,17,0,17,100.0
Bridgeport,17,0,17,100.0
Bridgewater,13,0,13,100.0
Clinton,16,0,16,100.0
Columbia,17,0,17,100.0
Cromwell,11,0,11,100.0
Deep River,11,0,11,100.0
Derby,4,0,4,100.0
Durham,18,0,18,100.0
East Hampton,28,0,28,100.0
Essex,9,0,9,100.0
Groton,30,0,30,100.0
Hamden,25,0,25,100.0
Killingworth,28,0,28,100.0
Madison,33,0,33,100.0
Meriden,16,0,16,100.0
Middlebury,15,0,15,100.0
Middlefield,9,0,9,100.0
Middletown,35,0,35,100.0
Milford,22,0,22,100.0
Monroe,20,0,20,100.0
Morris,11,0,11,100.0
Naugatuck,13,0,13,100.0
New Britain,10,0,10,100.0
New Fairfield,21,0,21,100.0
New Haven,18,0,18,100.0
New London,4,0,4,100.0
North Branford,18,0,18,100.0
North Canaan,16,0,16,100.0
North Haven,18,0,18,100.0
Orange,13,0,13,100.0
Oxford,28,0,28,100.0
Plainville,6,0,6,100.0
Portland,19,0,19,100.0
Prospect,11,0,11,100.0
Putnam,18,0,18,100.0
Redding,25,0,25,100.0
Rocky Hill,11,0,11,100.0
Roxbury,21,0,21,100.0
Seymour,12,0,12,100.0
Shelton,26,0,26,100.0
Southbury,30,0,30,100.0
Southington,30,0,30,100.0
Thomaston,9,0,9,100.0
Thompson,45,0,45,100.0
Trumbull,17,0,17,100.0
Wallingford,31,0,31,100.0
Waterbury,22,0,22,100.0
Waterford,30,0,30,100.0
Watertown,24,0,24,100.0
West Haven,12,0,12,100.0
Weston,17,0,17,100.0
Westport,19,0,19,100.0
Wethersfield,9,0,9,100.0
Windham,23,0,23,100.0
Woodbridge,14,0,14,100.0
