lat,long,extra 
41.05,-73.45,0
41.05,-73.55,0
41.05,-73.65,0
41.15,-73.15,0
41.15,-73.25,0
41.15,-73.35,0
41.15,-73.45,0
41.25,-72.35,0
41.25,-72.45,0
41.25,-72.55,0
41.25,-72.65,0
41.25,-72.75,0
41.25,-72.85,0
41.25,-72.95,0
41.25,-73.05,0
41.25,-73.15,0
41.25,-73.25,0
41.25,-73.35,0
41.25,-73.45,0
41.25,-73.55,0
41.35,-72.05,0
41.35,-72.15,0
41.35,-72.25,0
41.35,-72.35,0
41.35,-72.45,0
41.35,-72.65,0
41.35,-72.75,0
41.35,-72.85,0
41.35,-72.95,0
41.35,-73.05,0
41.35,-73.15,0
41.35,-73.25,0
41.35,-73.35,0
41.35,-73.45,0
41.35,-73.55,0
41.45,-71.85,0
41.45,-71.95,0
41.45,-72.05,0
41.45,-72.45,0
41.45,-72.55,0
41.45,-72.65,0
41.45,-72.75,0
41.45,-72.85,0
41.45,-72.95,0
41.45,-73.05,0
41.45,-73.15,0
41.45,-73.25,0
41.45,-73.35,0
41.45,-73.45,0
41.45,-73.55,0
41.55,-71.95,0
41.55,-72.05,0
41.55,-72.45,0
41.55,-72.55,0
41.55,-72.65,0
41.55,-72.75,0
41.55,-72.85,0
41.55,-72.95,0
41.55,-73.05,0
41.55,-73.15,0
41.55,-73.25,0
41.55,-73.35,0
41.55,-73.45,0
41.65,-72.05,0
41.65,-72.15,0
41.65,-72.65,0
41.65,-72.75,0
41.65,-72.85,0
41.65,-72.95,0
41.65,-73.05,0
41.65,-73.15,0
41.65,-73.25,0
41.65,-73.35,0
41.65,-73.45,0
41.65,-73.55,0
41.75,-71.85,0
41.75,-72.15,0
41.75,-72.25,0
41.75,-72.45,0
41.75,-72.55,0
41.75,-72.65,0
41.75,-72.75,0
41.75,-72.85,0
41.75,-72.95,0
41.75,-73.05,0
41.75,-73.15,0
41.75,-73.25,0
41.75,-73.45,0
41.85,-72.45,0
41.85,-72.55,0
41.85,-72.75,0
41.85,-72.85,0
41.85,-72.95,0
41.85,-73.05,0
41.85,-73.15,0
41.85,-73.25,0
41.95,-72.45,0
41.95,-72.75,0
41.95,-72.85,0
41.95,-72.95,0
41.95,-73.05,0
41.95,-73.15,0
41.95,-73.25,0
41.95,-73.35,0
41.95,-73.45,0
42.05,-72.45,0
42.05,-72.75,0
